Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,481.001,481.055,475.878,467.164,465.073,472.579,479.658,482.877,487.477,490.652,501.411,512.637,525.51,531.751,538.406,539.471,544.629,545.614,542.991,513.898,546.883,539.891,538.206,536.44,524.826,528.35,530.551,531.318,521.809,507.543,492.822
Japan,774.858,798.326,806.203,813.674,866.615,884.005,904.371,915.292,924.781,945.89,986.454,970.009,987.658,981.745,1015.503,1039.727,1043.894,1076.842,1037.451,1004.156,1051.27,1011.723,1006.624,1005.232,988.675,964.657,966.004,980.186191,961.064364,942.136557,921.409901
United States,2712.555,2854.26,2865.559,2963.142,3047.324,3135.807,3221.305,3270.628,3373.86,3459.621,3589.779,3554.396,3631.904,3662.327,3716.318,3811.487,3817.56,3921.94,3907.229,3724.658,3894.367,3885.019,3830.933,3871.735,3895.216,3895.365,3922.011,3886.956078,4042.840012,3964.472686,3903.674412
China,507.054,581.211,644.977,715.634,797.8,848.435,915.94,952.637,986.454,1043.574,1138.463,1240.951,1380.006,1604.719,1859.266,2126.432,2446.346,2816.826,2988.743,3222.519,3625.524,4051.605,4326.079,4717.568,5057.927,5098.165,5389.393,5880.106225,6439.154225,6807.714225,7110.690568
India,211.766,232.033,247.451,266.146,289.566,309.667,315.045,334.381,351.049,359.576,367.59,373.345,397.872,422.991,450.361,482.131,536.692,582.183,615.41,661.241,722.199,789.133,831.419,883.046,970.454,1022.223,1085.748,1149.182064,1233.017977,1271.951473,1187.12741
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
